,Country,no_of_stars,name,city,cuisine
0,France,1,Vistamar,Monte-Carlo,Modern cuisine
1,France,1,Le Blue Bay,Monte-Carlo,Creative
2,France,1,Yoshi,Monte-Carlo,Japanese
3,France,1,Le Grill,Monte-Carlo,Classic cuisine
4,France,1,Le Georges,Chartres,Modern cuisine
5,France,1,La Poule au Pot,Paris,Traditional cuisine
6,France,1,Pages,Paris,Creative
7,France,1,L'Arcane,Paris,Modern cuisine
8,France,1,Hostellerie de Levernois,Levernois,Modern cuisine
9,France,1,L'Auberge de Bagatelle,Le Mans,Modern cuisine
10,France,1,Mavrommatis,Paris,Greek
11,France,1,Côté Jardin,Gien,Creative
12,France,1,Le Duèze,Mercuès,Modern cuisine
13,France,1,Cyril Attrazic,Aumont-Aubrac,Modern cuisine
14,France,1,Le Saint-Estève,Le Tholonet,Modern cuisine
15,France,1,Abri,Paris,Modern cuisine
16,France,1,Le Cénacle,Toulouse,Modern cuisine
17,France,1,Le Vieux Logis,Trémolat,Modern cuisine
18,France,1,Le Jasmin,Saint-Sylvestre-sur-Lot,Modern cuisine
19,France,1,L'Amaryllis,Saint-Rémy,Creative
20,France,1,Yoshinori,Paris,Modern cuisine
21,France,1,Manoir de la Boulaie,Haute-Goulaine,Creative
22,France,1,À Contre Sens,Caen,Modern cuisine
23,France,1,Intuition,Saint-Lô,Creative
24,France,1,The Marcel,Sète,Mediterranean
25,France,1,Têtedoie,Lyon,Modern cuisine
26,France,1,Au Vieux Couvent,Rhinau,Creative
27,France,1,Holen,Rennes,Market cuisine
28,France,1,Dan B.,Ventabren,Modern cuisine
29,France,1,La Chaumière,Dole,Creative
30,France,1,La Mirande,Avignon,Classic cuisine
31,France,1,Restaurant De Lauzun,Pézenas,Modern cuisine
32,France,1,Garopapilles,Bordeaux,Modern cuisine
33,France,1,L'Épuisette,Marseille,Seafood
34,France,1,Jacques Faussat,Paris,Traditional cuisine
35,France,1,Auberge de la Tour,Marcolès,Modern cuisine
36,France,1,NESO,Paris,Creative
37,France,1,Le Chantecler,Nice,Modern cuisine
38,France,1,Rodolphe,Rouen,Modern cuisine
39,France,1,Le Quincangrogne,Dampmart,Modern cuisine
40,France,1,Château de la Treyne,Lacave,Classic cuisine
41,France,1,Auberge St-Jean,Saint-Jean-de-Blaignac,Creative
42,France,1,Umami,Strasbourg,Creative
43,France,1,G.a. au Manoir de Rétival,Caudebec-en-Caux,Modern cuisine
44,France,1,Brikéténia,Guéthary,Modern cuisine
45,France,1,Jean-Claude Leclerc,Clermont-Ferrand,Modern cuisine
46,France,1,La Meynardie,Salignac-Eyvigues,Modern cuisine
47,France,1,Aigue Marine,Tréguier,Creative
48,France,1,Le Bec au Cauchois,Valmont,Creative
49,France,1,Restaurant Sevin,Avignon,Modern cuisine
50,France,1,L'Éveil des Sens,Mayenne,Modern cuisine
51,France,1,La Table de Chaintré,Chaintré,Modern cuisine
52,France,1,L'Innocence,Paris,Modern cuisine
53,France,1,Äponem - Auberge du Presbytère,Vailhan,Modern cuisine
54,France,1,Auberge du Cellier,Montner,Modern cuisine
55,France,1,L'Escarbille,Meudon,Modern cuisine
56,France,1,L'Atelier Yssoirien,Issoire,Modern cuisine
57,France,1,La Table des Frères Ibarboure,Bidart,Modern cuisine
58,France,1,Tomy & Co,Paris,Modern cuisine
59,France,1,Tour d'Argent,Paris,Modern cuisine
60,France,1,Jean-Marc Pérochon,Brétignolles-sur-Mer,Modern cuisine
61,France,1,Restaurant H,Paris,Creative
62,France,1,Le Mas Bottero,Saint-Cannat,Modern cuisine
63,France,1,L'Oiseau Bleu,Bordeaux,Modern cuisine
64,France,1,Kasbür,Saverne,Modern cuisine
65,France,1,Saisons,Écully,Modern cuisine
66,France,1,Pierre,Mâcon,Classic cuisine
67,France,1,Aida,Paris,Japanese
68,France,1,L'Aspérule,Dijon,Modern cuisine
69,France,1,Le Patio,Arcachon,Modern cuisine
70,France,1,Entre Vigne et Garrigue,Pujaut,Modern cuisine
71,France,1,Le Panoramique - Domaine de la Corniche,Rolleboise,Modern cuisine
72,France,1,Les Fresques,Évian-les-Bains,Modern cuisine
73,France,1,U Santa Marina,Porto-Vecchio,Modern cuisine
74,France,1,Quinsou,Paris,Creative
75,France,1,L'Orchidée,Altkirch,Thai
76,France,1,L'Arbre au Soleil,Le Lavandou,Modern cuisine
77,France,1,L'Aromate,Nice,Modern cuisine
78,France,1,Château de Locguénolé,Kervignac,Modern cuisine
79,France,1,L'Auberge de Montmin,Talloires-Montmin,Traditional cuisine
80,France,1,Le Moulin de l'Abbaye,Brantôme,Modern cuisine
81,France,1,L'Impertinent,Biarritz,Creative
82,France,1,Domaine d'Auriac,Carcassonne,Classic cuisine
83,France,1,Le Violon d'Ingres,Paris,Traditional cuisine
84,France,1,La Chapelle,Montluçon,Modern cuisine
85,France,1,Thierry Schwartz - Le Restaurant,Obernai,Creative
86,France,1,Stéphane Tournié - Les Jardins de l'Opéra,Toulouse,Modern cuisine
87,France,1,Le Pavillon des Boulevards,Bordeaux,Creative
88,France,1,Les Trois Dômes,Lyon,Modern cuisine
89,France,1,L'Atelier du Peintre,Colmar,Creative
90,France,1,La Grange de Belle-Église,Belle-Église,Classic cuisine
91,France,1,La Marande,Mirande,Modern cuisine
92,France,1,Auberge du Dun,Le Bourg-Dun,Classic cuisine
93,France,1,L'Or Q'idée,Pontoise,Modern cuisine
94,France,1,L'Essentiel,Périgueux,Modern cuisine
95,France,1,Apicius,Paris,Modern cuisine
96,France,1,Côté Cuisine,Carnac,Modern cuisine
97,France,1,La Table du Boisniard,Chambretaud,Modern cuisine
98,France,1,L'Écrin,Paris,Modern cuisine
99,France,1,Alain Llorca,La Colle-sur-Loup,Provençal
100,France,1,La Table de l'Ours,Val-d'Isère,Modern cuisine
101,France,1,Saisons,Marseille,Modern cuisine
102,France,1,La Bastide de Moustiers,Moustiers-Sainte-Marie,Provençal
103,France,1,La Vieille Fontaine,Avignon,Modern cuisine
104,France,1,Baieta,Paris,Modern cuisine
105,France,1,Hostellerie Les Gorges de Pennafort,Callas,Modern cuisine
106,France,1,Le Prieuré,Villeneuve-lès-Avignon,Modern cuisine
107,France,1,L'Amphitryon,Lorient,Seafood
108,France,1,Le Bon Accueil,Malbuisson,Modern cuisine
109,France,1,Le Faham by Kelly Rangama,Paris,Modern cuisine
110,France,1,La Gouesnière,Saint-Méloir-des-Ondes,Modern cuisine
111,France,1,Pertinence,Paris,Modern cuisine
112,France,1,Hedone,Toulouse,Creative
113,France,1,La Robe,Montaigu,Modern cuisine
114,France,1,Le Gambetta,Saumur,Creative
115,France,1,Les Voiles d'Or,Neuville-lès-Dieppe,Modern cuisine
116,France,1,L'Orée de la Forêt,Étouy,Modern cuisine
117,France,1,L'Étang du Moulin,Bonnétage,Modern cuisine
118,France,1,Louis,Paris,Modern cuisine
119,France,1,Chez Michèle,Languimberg,Modern cuisine
120,France,1,Restaurant de Tourrel,Saint-Rémy-de-Provence,Modern cuisine
121,France,1,La Renaissance,Argentan,Modern cuisine
122,France,1,La Sommelière,Lyon,Modern cuisine
123,France,1,Les Trois Rochers,Combrit,Modern cuisine
124,France,1,Hostellerie de la Pointe St-Mathieu,Le Conquet,Modern cuisine
125,France,1,Le P'tit Polyte,Les Deux-Alpes,Modern cuisine
126,France,1,Sola,Paris,Modern cuisine
127,France,1,Elsa,Roquebrune,Mediterranean
128,France,1,Aux Terrasses,Tournus,Modern cuisine
129,France,1,La Scène Thélème,Paris,Modern cuisine
130,France,1,L'Arnsbourg,Baerenthal,Modern cuisine
131,France,1,Les Pêcheurs,Juan-les-Pins,Mediterranean
132,France,1,Auberge St-Walfrid,Sarreguemines,Traditional cuisine
133,France,1,Le Champ des Lunes,Lauris,Modern cuisine
134,France,1,Le Foch,Reims,Modern cuisine
135,France,1,Les Terraillers,Biot,Creative
136,France,1,Le Sérac,Saint-Gervais-les-Bains,Modern cuisine
137,France,1,Les Bories,Gordes,Modern cuisine
138,France,1,La Réserve Rimbaud,Montpellier,Modern cuisine
139,France,1,Girardin - Gastronomique,Colmar,Modern cuisine
140,France,1,Carré des Feuillants,Paris,Modern cuisine
141,France,1,Le Raisin,Pont-de-Vaux,Modern cuisine
142,France,1,Alcyone,Marseille,Modern cuisine
143,France,1,La Mare aux Oiseaux,Saint-Joachim,Creative
144,France,1,Maison Chabran - La Grande Table,Pont-de-l'Isère,Classic cuisine
145,France,1,Vieux Pont,Belcastel,Modern cuisine
146,France,1,Accents Table Bourse,Paris,Modern cuisine
147,France,1,Lasserre,Paris,Classic cuisine
148,France,1,La Flibuste-Martin's,Villeneuve-Loubet-Plage,Modern cuisine
149,France,1,Prairial,Lyon,Modern cuisine
150,France,1,Sushi B,Paris,Japanese
151,France,1,La Table de La Butte,Plouider,Modern cuisine
152,France,1,Le Moulin de la Gorce,La Roche-l'Abeille,Classic cuisine
